date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
07/08/2004,Australia,New Zealand,23,18,2004 Tri Nations Series,Stadium Australia,Sydney,Australia,FALSE,FALSE
14/08/2004,South Africa,New Zealand,40,26,2004 Tri Nations Series,Ellis Park,Johannesburg,South Africa,FALSE,FALSE
21/08/2004,South Africa,Australia,23,19,2004 Tri Nations Series,Kings Park Stadium,Durban,South Africa,FALSE,FALSE
06/11/2004,Scotland,Australia,14,31,2004 Autumn International,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
06/11/2004,Wales,South Africa,36,38,2004 end-of-year test,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
13/11/2004,Italy,New Zealand,10,59,2004 end-of-year internationals,Stadio Flaminio,Rome,Italy,FALSE,FALSE
13/11/2004,Ireland,South Africa,17,12,2004 end-of-year test,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
13/11/2004,France,Australia,27,14,2004 Autumn International,Stade de France,Saint-Denis,France,FALSE,FALSE
20/11/2004,England,South Africa,32,16,2004 Autumn International,Twickenham,London,England,FALSE,FALSE
20/11/2004,France,Argentina,14,24,2004 Autumn International,Stade Vélodrome,Marseille,France,FALSE,FALSE
20/11/2004,Scotland,Australia,17,31,2004 Autumn International,Hampden Park,Glasgow,Scotland,FALSE,FALSE
20/11/2004,Wales,New Zealand,25,26,2004 Autumn International,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
27/11/2004,Scotland,South Africa,10,45,2004 Autumn Internationals,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
27/11/2004,France,New Zealand,6,45,2004 end of year rugby union tests,Stade de France,Saint-Denis,France,FALSE,FALSE
27/11/2004,England,Australia,19,21,2004 Autumn International,Twickenham Stadium,London,England,FALSE,FALSE
27/11/2004,Ireland,Argentina,21,19,2004 Autumn Internationals,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
04/12/2004,Argentina,South Africa,7,39,2004 end-of-year test,Vélez Sársfield,Buenos Aires,Argentina,FALSE,FALSE
05/02/2005,Wales,England,11,9,2005 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
06/02/2005,Italy,Ireland,17,28,2005 Six Nations Championship,Stadio Flaminio,Rome,Italy,FALSE,FALSE
12/02/2005,Italy,Wales,8,38,2005 Six Nations,Stadio Flaminio,Rome,Italy,FALSE,FALSE
12/02/2005,Scotland,Ireland,13,40,2005 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
14/02/2005,England,France,17,18,2005 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
26/02/2005,Scotland,Italy,18,10,2005 Six Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
26/02/2005,France,Wales,18,24,2005 Six Nations Championship,Stade de France,Paris,France,FALSE,FALSE
27/02/2005,Ireland,England,19,13,2005 Six Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
05/03/2005,France,Scotland,16,9,2005 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
12/03/2005,England,Italy,39,7,2005 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
12/03/2005,Ireland,France,19,26,2005 Six Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
13/03/2005,Scotland,Wales,22,46,2005 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
19/03/2005,England,Scotland,43,22,2005 Six Nations Championship,Twickenham Stadium,London,England,FALSE,FALSE
19/03/2005,Italy,France,13,56,2005 Six Nations Championship,Stadio Flaminio,Rome,Italy,FALSE,FALSE
19/03/2005,Wales,Ireland,32,20,2005 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
11/06/2005,Argentina,Italy,35,21,2005 Italy rugby union tour of Argentina,Padre Ernesto Martearena,Salta,Argentina,FALSE,FALSE
17/06/2005,Argentina,Italy,29,30,2005 Italy rugby union tour of Argentina,Estadio Olímpico,Córdoba,Argentina,FALSE,FALSE
18/06/2005,South Africa,France,30,30,2005 France rugby union tour,ABSA Stadium,Durban,South Africa,FALSE,FALSE
25/06/2005,Australia,Italy,69,21,2005 Italy tour of Argentina and Australia,Docklands Stadium,Melbourne,Australia,FALSE,FALSE
25/06/2005,South Africa,France,27,13,2005 France rugby union tour,Boet Erasmus Stadium,Port Elizabeth,South Africa,FALSE,FALSE
02/07/2005,Australia,France,37,31,2005 France tour of South Africa and Australia,Lang Park,Brisbane,Australia,FALSE,FALSE
09/07/2005,Australia,South Africa,30,12,2005 Summer International,Stadium Australia,Sydney,Australia,FALSE,FALSE
23/07/2005,South Africa,Australia,33,20,2005 Summer International,Ellis Park Stadium,Johannesburg,South Africa,FALSE,FALSE
30/07/2005,South Africa,Australia,22,16,2005 Tri Nations Series,Loftus Versfeld Stadium,Pretoria,South Africa,FALSE,FALSE
06/08/2005,South Africa,New Zealand,22,16,2005 Tri Nations Series,Newlands,Cape Town,South Africa,FALSE,FALSE
13/08/2005,Australia,New Zealand,13,30,2005 Tri Nations Series,Stadium Australia,Sydney,Australia,FALSE,FALSE
20/08/2005,Australia,South Africa,19,22,2005 Tri Nations Series,Subiaco Oval,Perth,Australia,FALSE,FALSE
27/08/2005,New Zealand,South Africa,31,27,2005 Tri Nations Series,Carisbrook,Dunedin,New Zealand,FALSE,FALSE
03/09/2005,New Zealand,Australia,34,24,2005 Tri Nations Series,Eden Park,Auckland,New Zealand,FALSE,FALSE
05/11/2005,Wales,New Zealand,3,41,2005 Autumn International,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
05/11/2005,France,Australia,26,16,2005 Autumn International,Stade Vélodrome,Marseille,France,FALSE,FALSE
05/11/2005,Argentina,South Africa,23,34,2005 end-of-year test,José Amalfitani Stadium,Buenos Aires,Argentina,FALSE,FALSE
12/11/2005,Scotland,Argentina,19,23,2005 Autumn International,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
12/11/2005,England,Australia,26,16,2005 Autumn International,Twickenham Stadium,London,England,FALSE,FALSE
12/11/2005,Ireland,New Zealand,7,45,2005 New Zealand rugby union tour of Britain and Ireland,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
19/11/2005,England,New Zealand,19,23,2005 Autumn International,Twickenham,London,England,FALSE,FALSE
19/11/2005,Ireland,Australia,14,30,2005 Autumn International,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
19/11/2005,Italy,Argentina,22,39,2005 end of year tests,Stadio Marassi,Genoa,Italy,FALSE,FALSE
19/11/2005,Wales,South Africa,16,33,2005 end-of-year test,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
26/11/2005,France,South Africa,26,20,2005 Autumn International,Stade de France,Saint-Denis,France,FALSE,FALSE
26/11/2005,Wales,Australia,24,22,2005 Autumn International,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
26/11/2005,Scotland,New Zealand,10,29,2005 end of year rugby union tests,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
04/02/2006,Ireland,Italy,26,16,2006 Six Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
04/02/2006,England,Wales,47,13,2006 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
05/02/2006,Scotland,France,20,16,2006 Six Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
11/02/2006,Italy,England,16,31,2006 Six Nations Championship,Stadio Flaminio,Rome,Italy,FALSE,FALSE
11/02/2006,France,Ireland,43,31,2006 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
12/02/2006,Wales,Scotland,28,18,2006 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
25/02/2006,Scotland,England,18,12,2006 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
25/02/2006,France,Italy,37,12,2006 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
26/02/2006,Ireland,Wales,31,5,2006 Six Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
11/03/2006,Wales,Italy,18,18,2006 Six Nations,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
11/03/2006,Ireland,Scotland,15,9,2006 Six Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
12/03/2006,France,England,31,6,2006 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
18/03/2006,England,Ireland,24,28,2006 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
18/03/2006,Italy,Scotland,10,13,2006 Six Nations Championship,Stadio Flaminio,Rome,Italy,FALSE,FALSE
18/03/2006,Wales,France,16,21,2006 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
10/06/2006,New Zealand,Ireland,34,23,2006 Ireland rugby union tour of New Zealand and Australia,Waikato Stadium,Hamilton,New Zealand,FALSE,FALSE
10/06/2006,South Africa,Scotland,36,16,2006 mid-year rugby test series,Kings Park Stadium,Durban,South Africa,FALSE,FALSE
11/06/2006,Australia,England,34,3,2006 England tour of Australia,Stadium Australia,Sydney,Australia,FALSE,FALSE
11/06/2006,Argentina,Wales,27,25,2006 Wales tour of Argentina,Estadio Raúl Conti,Puerto Madryn,Argentina,FALSE,FALSE
17/06/2006,Australia,England,43,18,2006 England tour of Australia,Docklands Stadium,Melbourne,Australia,FALSE,FALSE
17/06/2006,New Zealand,Ireland,27,17,2006 Ireland rugby union tour of New Zealand and Australia,Eden Park,Auckland,New Zealand,FALSE,FALSE
17/06/2006,South Africa,Scotland,29,15,2006 mid-year rugby test series,EPRU Stadium,Port Elizabeth,South Africa,FALSE,FALSE
17/06/2006,Argentina,Wales,45,27,2006 Wales tour of Argentina,José Amalfitani Stadium,Buenos Aires,Argentina,FALSE,FALSE
24/06/2006,Argentina,New Zealand,19,25,2006 New Zealand tour of Argentina and Europe,José Amalfitani Stadium,Buenos Aires,Argentina,FALSE,FALSE
24/06/2006,Australia,Ireland,37,15,2006 Summer International,Subiaco Oval,Perth,Australia,FALSE,FALSE
24/06/2006,South Africa,France,26,36,2006 mid-year test,Newlands,Cape Town,South Africa,FALSE,FALSE
08/07/2006,New Zealand,Australia,32,12,2006 Tri Nations Series,Lancaster Park,Christchurch,New Zealand,FALSE,FALSE
15/07/2006,Australia,South Africa,49,0,2006 Tri Nations Series,Lang Park,Brisbane,Australia,FALSE,FALSE
22/07/2006,New Zealand,South Africa,35,17,2006 Tri Nations Series,Westpac Stadium,Wellington,New Zealand,FALSE,FALSE
29/07/2006,Australia,New Zealand,9,13,2006 Tri Nations Series,Lang Park,Brisbane,Australia,FALSE,FALSE
05/08/2006,Australia,South Africa,20,18,2006 Tri Nations Series,Stadium Australia,Sydney,Australia,FALSE,FALSE
19/08/2006,New Zealand,Australia,34,27,2006 Tri Nations Series,Eden Park,Auckland,New Zealand,FALSE,FALSE
26/08/2006,South Africa,New Zealand,26,45,2006 Tri Nations Series,Loftus Versfeld Stadium,Pretoria,South Africa,FALSE,FALSE
02/09/2006,South Africa,New Zealand,21,20,2006 Tri Nations Series,Royal Bafokeng Stadium,Rustenburg,South Africa,FALSE,FALSE
09/09/2006,South Africa,Australia,24,16,2006 Tri Nations Series,Ellis Park Stadium,Johannesburg,South Africa,FALSE,FALSE
04/11/2006,Wales,Australia,29,29,2006 Autumn International,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
05/11/2006,England,New Zealand,20,41,2006 Autumn International,Twickenham,London,England,FALSE,FALSE
11/11/2006,Ireland,South Africa,32,15,2006 end-of-year test,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
11/11/2006,France,New Zealand,3,47,2006 end of year rugby union tests,Stade de Gerland,Lyon,France,FALSE,FALSE
11/11/2006,England,Argentina,18,25,2006 Autumn International,Twickenham,London,England,FALSE,FALSE
11/11/2006,Italy,Australia,18,25,"2006 Australia tour of Great Britain, Ireland and Italy",Stadio Flaminio,Rome,Italy,FALSE,FALSE
18/11/2006,Italy,Argentina,16,23,2006 end of year tests,Stadio Flaminio,Rome,Italy,FALSE,FALSE
18/11/2006,France,New Zealand,11,23,2006 end of year rugby union tests,Stade de France,Saint-Denis,France,FALSE,FALSE
18/11/2006,England,South Africa,23,21,2006 South Africa rugby union tour of Ireland and England,Twickenham,London,England,FALSE,FALSE
19/11/2006,Ireland,Australia,21,6,2006 Autumn International,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
25/11/2006,Scotland,Australia,15,44,2006 Autumn International,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
25/11/2006,Wales,New Zealand,10,45,2006 Autumn International,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
25/11/2006,France,Argentina,27,26,2006 Autumn International,Stade de France,Saint-Denis,France,FALSE,FALSE
25/11/2006,England,South Africa,14,25,2006 South Africa rugby union tour of Ireland and England,Twickenham,London,England,FALSE,FALSE
03/02/2007,Italy,France,3,39,2007 Six Nations Championship,Stadio Flaminio,Rome,Italy,FALSE,FALSE
03/02/2007,England,Scotland,42,20,2007 Six Nations Championship,Twickenham Stadium,London,England,FALSE,FALSE
04/02/2007,Wales,Ireland,9,19,2007 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
10/02/2007,England,Italy,20,7,2007 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
10/02/2007,Scotland,Wales,21,9,2007 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
11/02/2007,Ireland,France,17,20,2007 Six Nations Championship,Croke Park,Dublin,Ireland,FALSE,FALSE
24/02/2007,France,Wales,32,21,2007 Six Nations Championship,Stade de France,Paris,France,FALSE,FALSE
24/02/2007,Ireland,England,43,13,2007 Six Nations Championship,Croke Park,Dublin,Ireland,FALSE,FALSE
24/02/2007,Scotland,Italy,17,37,2007 Six Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
10/03/2007,Scotland,Ireland,18,19,2007 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
10/03/2007,Italy,Wales,23,20,2007 Six Nations,Stadio Flaminio,Rome,Italy,FALSE,FALSE
11/03/2007,England,France,26,18,2007 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
17/03/2007,Italy,Ireland,24,51,2007 Six Nations Championship,Stadio Flaminio,Rome,Italy,FALSE,FALSE
17/03/2007,Wales,England,27,18,2007 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
17/03/2007,France,Scotland,46,19,2007 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
26/05/2007,Argentina,Ireland,22,20,2007 June rugby union tests,Estadio Brigadier General Estanislao López,Santa Fe,Argentina,FALSE,FALSE
26/05/2007,South Africa,England,58,10,2007 England rugby union tour of South Africa,Free State Stadium,Bloemfontein,South Africa,FALSE,FALSE
26/05/2007,Australia,Wales,29,23,2007 Wales tour of Australia,Stadium Australia,Sydney,Australia,FALSE,FALSE
02/06/2007,Argentina,Ireland,16,0,2007 June rugby union tests,Estadio José Amalfitani,Buenos Aires,Argentina,FALSE,FALSE
02/06/2007,Australia,Wales,31,0,2007 Wales tour of Australia,Lang Park,Brisbane,Australia,FALSE,FALSE
02/06/2007,South Africa,England,55,22,2007 England rugby union tour of South Africa,Loftus Versfeld,Pretoria,South Africa,FALSE,FALSE
02/06/2007,New Zealand,France,42,11,2007 mid-year rugby union tests,Eden Park,Auckland,New Zealand,FALSE,FALSE
09/06/2007,New Zealand,France,61,10,2007 mid-year rugby union tests,Westpac Stadium,Wellington,New Zealand,FALSE,FALSE
09/06/2007,Argentina,Italy,24,6,2007 mid year test,Malvinas Argentinas,Mendoza,Argentina,FALSE,FALSE
16/06/2007,South Africa,Australia,22,19,2007 Tri Nations Series,Newlands Stadium,Cape Town,South Africa,FALSE,FALSE
23/06/2007,South Africa,New Zealand,21,26,2007 Tri Nations Series,Kings Park Stadium,Durban,South Africa,FALSE,FALSE
30/06/2007,Australia,New Zealand,20,15,2007 Tri Nations Series,Melbourne Cricket Ground,Melbourne,Australia,FALSE,FALSE
07/07/2007,Australia,South Africa,25,17,2007 Tri Nations Series,Stadium Australia,Sydney,Australia,FALSE,FALSE
14/07/2007,New Zealand,South Africa,33,6,2007 Tri Nations Series,Lancaster Park,Christchurch,New Zealand,FALSE,FALSE
21/07/2007,New Zealand,Australia,26,12,2007 Tri Nations Series,Eden Park,Auckland,New Zealand,FALSE,FALSE
04/08/2007,England,Wales,62,5,2007 Rugby World Cup warm-up,Twickenham,London,England,FALSE,FALSE
11/08/2007,England,France,15,21,2007 Rugby World Cup warm-up,Twickenham,London,England,FALSE,FALSE
11/08/2007,Scotland,Ireland,31,21,2007 Rugby World Cup warm-up tests,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
18/08/2007,Wales,Argentina,27,20,2007 Rugby World Cup warm-up match,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
18/08/2007,France,England,22,9,2007 Rugby World Cup warm-up,Stade Vélodrome,Marseille,France,FALSE,FALSE
24/08/2007,Ireland,Italy,23,20,2007 Rugby World Cup warm-up tests,Ravenhill Stadium,Belfast,Ireland,FALSE,FALSE
25/08/2007,Scotland,South Africa,3,27,2007 Rugby World Cup warm-up test,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
26/08/2007,Wales,France,7,34,2007 Rugby World Cup warm-up match,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
07/09/2007,France,Argentina,12,17,2007 Rugby World Cup Pool match,Stade de France,Saint-Denis,France,FALSE,TRUE
08/09/2007,New Zealand,Italy,76,14,2007 Rugby World Cup,Stade Vélodrome,Marseille,France,TRUE,TRUE
14/09/2007,England,South Africa,0,36,2007 Rugby World Cup Pool Stage,Stade de France,Paris,France,TRUE,TRUE
15/09/2007,Wales,Australia,20,32,2007 Rugby World Cup Pool match,Millennium Stadium,Cardiff,Wales,FALSE,TRUE
21/09/2007,France,Ireland,25,3,2007 Rugby World Cup,Stade de France,Saint-Denis,France,FALSE,TRUE
23/09/2007,Scotland,New Zealand,0,40,2007 Rugby World Cup Pool Match,Murrayfield,Edinburgh,Scotland,FALSE,TRUE
29/09/2007,Scotland,Italy,18,16,2007 Rugby World Cup,Stade Geoffroy-Guichard,Saint-Étienne,France,TRUE,TRUE
30/09/2007,Argentina,Ireland,30,15,2007 Rugby World Cup,Parc des Princes,Paris,France,TRUE,TRUE
06/10/2007,Australia,England,10,12,2007 Rugby World Cup Quarter-final,Stade Vélodrome,Marseille,France,TRUE,TRUE
06/10/2007,New Zealand,France,18,20,2007 Rugby World Cup,Millennium Stadium,Cardiff,Wales,TRUE,TRUE
07/10/2007,Argentina,Scotland,19,13,2007 Rugby World Cup Quarter-finals,Stade de France,Saint-Denis,France,TRUE,TRUE
13/10/2007,France,England,9,14,2007 Rugby World Cup semi-final,Stade de France,Saint-Denis,France,FALSE,TRUE
14/10/2007,Argentina,South Africa,13,37,2007 Rugby World Cup Semi-finals,Stade de France,Saint-Denis,France,TRUE,TRUE
19/10/2007,France,Argentina,10,34,2007 Rugby World Cup Bronze Final,Parc des Princes,Paris,France,FALSE,TRUE
20/10/2007,England,South Africa,6,15,2007 Rugby World Cup Final,Stade de France,Paris,France,TRUE,TRUE
24/11/2007,Wales,South Africa,12,34,2007 end-of-year test,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
02/02/2008,England,Wales,19,26,2008 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
02/02/2008,Ireland,Italy,16,11,2008 Six Nations Championship,Croke Park,Dublin,Ireland,FALSE,FALSE
03/02/2008,Scotland,France,6,27,2008 Six Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
09/02/2008,Wales,Scotland,30,15,2008 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
09/02/2008,France,Ireland,26,21,2008 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
10/02/2008,Italy,England,19,23,2008 Six Nations Championship,Stadio Flaminio,Rome,Italy,FALSE,FALSE
23/02/2008,Wales,Italy,47,8,2008 Six Nations,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
23/02/2008,Ireland,Scotland,34,13,2008 Six Nations Championship,Croke Park,Dublin,Ireland,FALSE,FALSE
23/02/2008,France,England,13,24,2008 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
08/03/2008,Scotland,England,15,9,2008 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
08/03/2008,Ireland,Wales,12,16,2008 Six Nations Championship,Croke Park,Dublin,Ireland,FALSE,FALSE
09/03/2008,France,Italy,25,13,2008 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
