date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
08/02/1936,Ireland,England,6,3,1936 Home Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
22/02/1936,Scotland,Ireland,4,10,1936 Home Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
14/03/1936,Wales,Ireland,3,0,1936 Home Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
21/03/1936,England,Scotland,9,8,1936 Home Nations Championship,Twickenham Stadium,London,England,FALSE,FALSE
05/09/1936,New Zealand,Australia,11,6,1936 Australia tour of New Zealand,Athletic Park,Wellington,New Zealand,FALSE,FALSE
12/09/1936,New Zealand,Australia,38,13,1936 Australia tour of New Zealand,Carisbrook,Dunedin,New Zealand,FALSE,FALSE
16/01/1937,England,Wales,4,3,1937 Home Nations Championship,Twickenham,London,England,FALSE,FALSE
06/02/1937,Wales,Scotland,6,13,1937 Home Nations Championship,St Helen's,Swansea,Wales,FALSE,FALSE
13/02/1937,England,Ireland,9,8,1937 Home Nations Championship,Twickenham,London,England,FALSE,FALSE
27/02/1937,Ireland,Scotland,11,4,1937 Home Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
20/03/1937,Scotland,England,3,6,1937 Home Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
03/04/1937,Ireland,Wales,5,3,1937 Home Nations Championship,Ravenhill,Belfast,Ireland,FALSE,FALSE
26/06/1937,Australia,South Africa,5,9,1937 South Africa tour of Australia and New Zealand,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
17/07/1937,Australia,South Africa,17,26,1937 South Africa tour of Australia and New Zealand,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
14/08/1937,New Zealand,South Africa,13,7,1937 South Africa tour,Athletic Park,Wellington,New Zealand,FALSE,FALSE
04/09/1937,New Zealand,South Africa,6,13,1937 South Africa tour,Lancaster Park,Christchurch,New Zealand,FALSE,FALSE
25/09/1937,New Zealand,South Africa,6,17,1937 South Africa tour,Eden Park,Auckland,New Zealand,FALSE,FALSE
17/10/1937,France,Italy,45,5,1937 FIRA Tournament,Parc des Princes,Paris,France,FALSE,FALSE
15/01/1938,Wales,England,14,8,1938 Home Nations Championship,Cardiff Arms Park,Cardiff,Wales,FALSE,FALSE
05/02/1938,Scotland,Wales,8,6,1938 Home Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
12/02/1938,Ireland,England,14,36,1938 Home Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
26/02/1938,Scotland,Ireland,23,14,1938 Home Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
12/03/1938,Wales,Ireland,11,5,1938 Home Nations Championship,St Helen's,Swansea,Wales,FALSE,FALSE
19/03/1938,England,Scotland,16,21,1938 Home Nations Championship,Twickenham Stadium,London,England,FALSE,FALSE
23/07/1938,Australia,New Zealand,9,24,1938 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
06/08/1938,Australia,New Zealand,14,20,1938 New Zealand tour of Australia,Brisbane Exhibition Ground,Brisbane,Australia,FALSE,FALSE
13/08/1938,Australia,New Zealand,6,14,1938 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
21/01/1939,England,Wales,3,0,1939 Home Nations Championship,Twickenham,London,England,FALSE,FALSE
04/02/1939,Wales,Scotland,11,3,1939 Home Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
11/02/1939,England,Ireland,0,5,1939 Home Nations Championship,Twickenham,London,England,FALSE,FALSE
25/02/1939,Ireland,Scotland,12,3,1939 Home Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
11/03/1939,Ireland,Wales,0,7,1939 Home Nations Championship,Ravenhill,Belfast,Ireland,FALSE,FALSE
18/03/1939,Scotland,England,6,9,1939 Home Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
14/09/1946,New Zealand,Australia,31,8,1946 Australia tour of New Zealand,Carisbrook,Dunedin,New Zealand,FALSE,FALSE
28/09/1946,New Zealand,Australia,14,10,1946 Australia tour of New Zealand,Eden Park,Auckland,New Zealand,FALSE,FALSE
01/01/1947,France,Scotland,8,3,1947 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,FALSE,FALSE
18/01/1947,Wales,England,6,9,1947 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,FALSE,FALSE
25/01/1947,Ireland,France,8,12,1947 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
01/02/1947,Scotland,Wales,8,22,1948 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
08/02/1947,Ireland,England,22,0,1947 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
22/02/1947,Scotland,Ireland,0,3,1947 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
15/03/1947,England,Scotland,24,5,1947 Five Nations Championship,Twickenham Stadium,London,England,FALSE,FALSE
22/03/1947,France,Wales,0,3,1947 Five Nations Championship,Stade Colombes,Paris,France,FALSE,FALSE
29/03/1947,Wales,Ireland,6,0,1947 Five Nations Championship,St Helen's,Swansea,Wales,FALSE,FALSE
19/04/1947,England,France,6,3,1947 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
14/06/1947,Australia,New Zealand,5,13,1947 New Zealand tour of Australia,Exhibition Ground,Brisbane,Australia,FALSE,FALSE
28/06/1947,Australia,New Zealand,14,27,1947 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
22/11/1947,Scotland,Australia,7,16,"1947–48 Australia tour of Great Britain, Ireland, France and North America",Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
06/12/1947,Ireland,Australia,3,16,"1947–48 Australia tour of Great Britain, Ireland, France and North America",Lansdowne Road,Dublin,Ireland,FALSE,FALSE
20/12/1947,Wales,Australia,6,0,1947–48 Australia tour of Europe and North America,National Stadium,Cardiff,Wales,FALSE,FALSE
01/01/1948,France,Ireland,6,13,1948 Five Nations Championship,Colombes,Paris,France,FALSE,FALSE
03/01/1948,England,Australia,0,11,"1947–48 Australia tour of Great Britain, Ireland, France and North America",Twickenham Stadium,London,England,FALSE,FALSE
11/01/1948,France,Australia,13,6,"1947–48 Australia tour of Great Britain, Ireland, France and North America",Stade Yves-du-Manoir,Colombes,France,FALSE,FALSE
17/01/1948,England,Wales,3,3,1948 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
07/02/1948,Wales,Scotland,14,0,1948 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
14/02/1948,England,Ireland,10,11,1948 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
21/02/1948,Wales,France,3,11,1948 Five Nations Championship,St Helen's,Swansea,Wales,FALSE,FALSE
21/02/1948,Scotland,France,9,8,1948 Five Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
28/02/1948,Ireland,Scotland,6,0,1948 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
13/03/1948,Ireland,Wales,6,3,1948 Five Nations Championship,Ravenhill,Belfast,Ireland,FALSE,FALSE
20/03/1948,Scotland,England,6,3,1948 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
29/03/1948,France,England,15,0,1948 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,FALSE,FALSE
15/01/1949,France,Scotland,0,8,1949 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,FALSE,FALSE
15/01/1949,Wales,England,9,3,1949 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,FALSE,FALSE
29/01/1949,Ireland,France,9,16,1949 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
05/02/1949,Scotland,Wales,6,5,1949 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
12/02/1949,Ireland,England,14,5,1949 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
26/02/1949,England,France,8,3,1949 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
26/02/1949,Scotland,Ireland,3,13,1949 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
